fea061e,AlexDeLaCour,fixed disappearing player,,3 minutes ago
4eb3751,Shangit Cruze,Merge branch 'main' of https://github.com/DeLaCourAlex/Comet-Culling,,18 minutes ago
16a8f01,Shangit Cruze,updated day 4 dialogue,,18 minutes ago
81e4aa4,AlexDeLaCour,Merge branch 'main' of https://github.com/DeLaCourAlex/Comet-Culling,,37 minutes ago
eac87bd,AlexDeLaCour,Fixed audio bug,And fixed tutorial text error
added colliders to spaceship legs
,37 minutes ago
75337a9,Shangit Cruze,Merge branch 'main' of https://github.com/DeLaCourAlex/Comet-Culling,,40 minutes ago
3140421,Shangit Cruze,changed day 4 dialogue text,,41 minutes ago
06fd12c,AlexDeLaCour,changed crop energy,,82 minutes ago
0a9ed01,AlexDeLaCour,changed crop growth time,,83 minutes ago
c8e6835,AlexDeLaCour,Merge branch 'main' of https://github.com/DeLaCourAlex/Comet-Culling,,2 hours ago
3994868,AlexDeLaCour,Fixed crop growth,Watered crops now grow much quicker than unwatered
,2 hours ago
481ff76,Shangit Cruze,Merge branch 'main' of https://github.com/DeLaCourAlex/Comet-Culling,,2 hours ago
bbb2349,Shangit Cruze,fixed blur screen issue,,2 hours ago
1fd26b2,AlexDeLaCour,added NPC animation,,3 hours ago
7472782,Shangit Cruze,commented some code,,3 hours ago
7ee1eeb,Shangit Cruze,pushing old build to fix dialogue,,6 hours ago
0144c17,brunorosenbaum11,Merge branch 'main' of https://github.com/DeLaCourAlex/Comet-Culling,,6 hours ago
0979059,brunorosenbaum11,Organizing and cleaning,,6 hours ago
7f627ed,AlexDeLaCour,fixed seed bug between scenes,,6 hours ago
6fda4c7,AlexDeLaCour,updated merchant trade issue,keeping new seeds in data permanence
,7 hours ago
a59823c,AlexDeLaCour,Altered credits scene,,7 hours ago
7c84d1a,brunorosenbaum11,Merge branch 'main' of https://github.com/DeLaCourAlex/Comet-Culling,,8 hours ago
b6ee1f7,AlexDeLaCour,Merge branch 'main' of https://github.com/DeLaCourAlex/Comet-Culling,,8 hours ago
01e42dc,AlexDeLaCour,final bug fixing,,8 hours ago
92dcc33,Shangit Cruze,fixed dialogue,,8 hours ago
69165e8,Shangit Cruze,changed affinity script,,9 hours ago
7e42ce8,brunorosenbaum11,Merge branch 'main' of https://github.com/DeLaCourAlex/Comet-Culling,,Mon 21:24
cbb0634,AlexDeLaCour,fixed end game data permanence,Now restarts data permanence when completing game
also added in new idle animation
,Mon 21:23
9fb8bb0,AlexDeLaCour,added intro music,,Mon 20:49
f47b362,AlexDeLaCour,cleaning up scripts,,Mon 20:47
2896834,AlexDeLaCour,more affinity,,Mon 18:19
cb1a6ee,AlexDeLaCour,working on affinity,,Mon 17:50
fa6fa1d,AlexDeLaCour,Fixed stuff,,Mon 15:49
8289f8c,brunorosenbaum11,Dialogue backup,,Mon 15:09
fa9a425,AlexDeLaCour,Merge branch 'main' of https://github.com/DeLaCourAlex/Comet-Culling,,Mon 13:45
b6b0cbf,AlexDeLaCour,added text boxes to main screen,and updated npc animations
,Mon 13:45
